Time, Latitude, Longitude
2023:08:05 17:20:38,51.708911111111114,-1.2596944444444444
2023:08:05 17:46:49,51.71393333333334,-1.2617972222222222
2023:08:05 17:57:43,51.712875000000004,-1.2629472222222222
2023:08:05 17:48:35,51.714511111111115,-1.2630805555555555
2023:08:05 17:54:59,51.71272777777778,-1.263925
2023:08:05 17:20:14,51.70886666666667,-1.2601416666666667
2023:08:05 17:20:06,51.70880833333334,-1.2603
2023:08:05 17:55:06,51.71281944444445,-1.2638722222222223
2023:08:05 18:12:20,51.70979722222223,-1.2567972222222221
2023:08:05 17:48:50,51.71458888888889,-1.2633055555555555
2023:08:05 17:46:24,51.71386666666667,-1.2614805555555555
2023:08:05 17:57:53,51.71286111111112,-1.2628305555555555
2023:08:05 17:20:33,51.708911111111114,-1.259863888888889
2023:08:05 17:49:12,51.71470277777778,-1.2635972222222223
2023:08:05 18:09:28,51.708911111111114,-1.2594944444444445
2023:08:05 17:54:36,51.71302777777778,-1.2638916666666666
2023:08:05 17:22:00,51.709319444444446,-1.2584555555555557
2023:08:05 17:53:19,51.71330555555556,-1.26325
2023:08:05 17:42:25,51.714594444444444,-1.2604972222222222
2023:08:05 17:42:17,51.71463888888889,-1.2604666666666666
2023:08:05 17:21:37,51.70917222222222,-1.2588305555555555
2023:08:05 17:54:14,51.712744444444446,-1.2635694444444445
2023:08:05 17:03:28,51.70985277777778,-1.2568944444444445
2023:08:05 17:54:44,51.71295555555556,-1.2638972222222222
2023:08:05 18:09:25,51.709025000000004,-1.260061111111111
2023:08:05 17:49:37,51.71483888888889,-1.2635694444444445
2023:08:05 17:17:43,51.708783333333336,-1.262125
2023:08:05 17:54:21,51.713030555555555,-1.2637
2023:08:05 17:59:11,51.712405555555556,-1.2630722222222222
2023:08:05 17:49:50,51.71489444444445,-1.2637333333333334
2023:08:05 17:29:48,51.71453888888889,-1.2547805555555556
2023:08:05 17:03:07,51.709297222222226,-1.2566638888888888
2023:08:05 17:21:27,51.709075000000006,-1.2589
2023:08:05 17:21:14,51.70900833333334,-1.25905
2023:08:05 17:53:07,51.723419444444446,-1.2439111111111112
2023:08:05 17:23:24,51.70946388888889,-1.2576944444444444
2023:08:05 17:58:01,51.71278055555556,-1.2627694444444444
2023:08:05 17:54:31,51.71302777777778,-1.2638305555555556
2023:08:05 17:20:19,51.708869444444446,-1.2600333333333333
2023:08:05 17:46:20,51.713863888888895,-1.2614805555555555
2023:08:05 17:20:59,51.708961111111115,-1.2592722222222221
2023:08:05 17:19:57,51.70872777777778,-1.2604055555555556
2023:08:05 17:55:21,51.712872222222224,-1.2637611111111111
2023:08:05 17:48:00,51.714283333333334,-1.2626277777777777
2023:08:05 17:48:15,51.71436944444445,-1.2628083333333333
2023:08:05 17:48:21,51.714419444444445,-1.262875
2023:08:05 17:57:35,51.71281944444445,-1.2629277777777779
2023:08:05 17:47:16,51.71412777777778,-1.2621666666666667
2023:08:05 17:18:48,51.70887777777778,-1.2622083333333334
2023:08:05 17:20:49,51.708936111111115,-1.259486111111111
2023:08:05 17:46:08,51.71378333333334,-1.2614194444444444
2023:08:05 17:20:16,51.70886666666667,-1.2601
